,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,Y
52,100000,2,3,3,43,0,0,0,0,0,0,61559,51163,43824,39619,35762,33258,2000,1606,1500,2000,1500,1000,49163,42324,38119,34262,31758,261,293,456,379,280,0
53,310000,2,2,1,49,-2,-2,-2,-2,-2,-2,13465,7867,7600,11185,3544,464,7875,7600,11185,3544,464,0,-8,-3585,0,3080,0,5644,14218,4663,415,0,0
54,180000,2,1,2,25,1,2,0,0,0,0,41402,41742,42758,43510,44420,45319,1300,2010,1762,1762,1790,1622,40442,40996,41748,42630,43529,485,422,412,411,365,0
55,150000,2,1,2,29,2,0,0,0,0,0,46224,34993,31434,26518,21042,16540,1600,1718,1049,1500,2000,5000,33393,30385,25469,19042,14540,372,300,477,754,2376,0
56,500000,2,1,1,45,-2,-2,-2,-2,-2,-2,1905,3640,162,0,151,2530,3640,162,0,151,2530,0,0,162,0,-2379,0,850,0,9321,10000,0,0
57,180000,2,3,1,34,0,0,0,-1,-1,-1,16386,15793,8441,7142,-679,8321,8500,1500,7500,679,9000,2000,7293,941,-358,-9679,-679,915,4749,804,12602,-29455,0
58,180000,2,2,1,34,0,0,0,0,0,0,175886,173440,172308,168608,132202,129918,8083,7296,5253,4814,4816,3800,165357,167055,163355,127386,125102,415,303,279,286,287,0
59,200000,2,1,2,34,-1,3,2,2,2,2,1587,1098,782,1166,700,1414,0,0,700,0,1200,0,1098,82,466,-500,214,0,6375,0,10292,0,0
60,400000,2,2,1,29,0,0,0,0,0,0,400134,398857,404205,360199,356656,364089,17000,15029,30000,12000,12000,23000,381857,374205,330199,344656,352089,376,752,297,333,645,0
61,500000,2,3,1,28,0,0,0,0,0,0,22848,23638,18878,14937,13827,15571,1516,1300,1000,1000,2000,2000,22122,17878,13937,11827,13571,569,423,530,1339,1446,1
62,70000,1,2,1,39,0,0,0,0,0,-1,70800,72060,69938,16518,14096,830,4025,2095,1000,2000,3000,0,68035,68938,15518,11096,-2170,296,139,286,1816,0,0
63,50000,1,1,2,29,2,2,2,2,2,2,24987,24300,26591,25865,27667,28264,0,2700,0,2225,1200,0,24300,26591,25865,26467,27064,1081,0,837,464,0,1
64,50000,2,2,1,46,0,0,0,-2,-2,-2,28718,29166,0,0,0,0,1000,0,0,0,0,0,28166,0,0,0,0,0,0,10000,10000,10000,1
65,130000,2,2,1,51,-1,-1,-2,-2,-1,-1,99,0,0,0,2353,0,0,0,0,2353,0,0,0,0,0,2353,0,0,10000,10000,10000,0,0
66,200000,1,1,1,57,-2,-2,-2,-1,2,2,152519,148751,144076,8174,8198,7918,0,0,8222,300,0,1000,148751,135854,-48,8198,7918,0,553,21,0,1220,1
67,10000,1,2,1,56,2,2,2,0,0,0,2097,4193,3978,4062,4196,4326,2300,0,150,200,200,160,1893,3828,3912,3996,4126,0,358,503,492,381,1
68,210000,2,1,2,30,2,-1,-1,-1,-1,-1,300,300,1159,2280,300,4250,300,1159,2280,300,4250,909,0,-1121,0,-3950,0,38633,76000,2588,18640,30300,0
69,130000,2,3,2,29,1,-2,-2,-1,2,-1,-190,-9850,-9850,10311,10161,7319,0,0,20161,0,7319,13899,-9850,-30011,-9850,2842,0,0,-20468,0,7098,13679,0
70,20000,1,5,2,22,2,0,0,0,0,0,18565,17204,17285,18085,11205,5982,0,1200,1000,500,1000,0,17204,16285,17085,10205,4982,646,581,289,553,0,0
71,80000,1,1,2,31,-1,-1,-1,-1,-1,-1,780,0,390,390,390,390,0,390,390,390,390,390,0,0,0,0,0,5000,10000,10000,10000,10000,0
72,320000,1,2,2,29,2,2,2,2,2,2,58267,59246,60184,58622,62307,63526,2500,2500,0,4800,2400,1600,56746,60184,58622,59907,61126,429,0,798,409,257,1
73,200000,2,2,1,32,-1,-1,-1,-1,2,-1,9076,5787,-684,5247,3848,3151,5818,15,9102,17,3165,1395,-31,-9786,-3855,683,-14,17,15728,-249,6032,3625,0
74,290000,2,1,2,37,1,-2,-1,-1,-1,-1,0,0,3155,0,2359,0,0,3155,0,2359,0,0,0,3155,0,2359,0,10000,10000,7477,10000,0,0
75,340000,1,1,2,32,-1,-1,-1,-1,-1,-1,3048,5550,23337,4291,80153,25820,5713,23453,4314,80552,25949,2016,-163,19023,-23,54204,-129,76946,7773,34517,60473,252,0
76,20000,1,2,2,24,0,0,2,0,0,0,14619,17216,16642,16976,17332,18543,2850,0,610,630,1500,0,14366,16032,16366,15832,17043,0,354,379,884,0,0
77,50000,1,3,2,25,-1,0,0,0,0,0,42838,37225,36087,9636,9590,10030,1759,1779,320,500,1000,1000,35466,35767,9316,8590,9030,415,86,139,1038,1043,0
78,300000,2,1,1,45,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,291,291,291,291,291,0,0,0,0,0,10000,10000,10000,10000,10000,0
79,30000,2,2,2,22,0,0,0,0,0,0,28387,29612,30326,28004,26446,6411,1686,1400,560,3000,1765,0,27926,29766,27444,24681,4646,493,189,989,630,0,1
80,240000,2,2,2,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,10000,10000,10000,10000,1
81,470000,2,3,3,33,0,0,0,0,0,0,165254,157784,162702,69923,29271,29889,6400,7566,3000,960,1000,3000,151384,159702,66923,28271,28889,458,190,59,143,1025,0
82,360000,2,1,2,26,0,0,0,0,0,-1,23411,27796,30400,33100,180000,196,4796,3400,3100,146900,196,2963,23000,27300,30000,179804,0,1452,1115,48322,59,165,0
83,60000,1,3,2,30,0,0,0,0,0,0,26324,27471,28108,21993,19899,19771,1576,1213,648,768,1140,0,25895,27460,21345,18759,18631,461,236,273,518,0,1
84,400000,2,2,1,44,0,0,2,0,0,0,131595,139060,126819,104430,104990,94058,10700,3,3050,3000,3200,2800,128360,123769,101380,101790,90858,0,219,237,306,267,0
85,50000,2,3,2,49,0,0,0,0,0,0,48909,47863,21489,20414,19342,19482,1676,1302,700,699,849,826,46187,20789,19714,18493,18633,266,146,325,416,427,0
86,160000,1,2,2,33,0,0,0,0,0,0,130028,107808,71934,118418,118407,120418,4400,3547,80000,4500,4800,4500,103408,-8066,38418,113607,115618,273,7421,626,405,380,0
87,360000,2,1,1,45,-1,-1,2,0,-1,-1,390,1170,780,390,390,390,1170,0,0,390,390,390,0,780,390,0,0,0,0,5000,10000,10000,1
88,160000,2,2,2,32,0,0,0,0,0,-1,3826,4751,6604,8604,7072,766,1147,2000,2000,0,766,2303,3604,4604,6604,6306,0,5227,4210,0,890,3257,0
89,130000,2,1,1,35,0,0,0,-1,-1,-1,81313,117866,17740,1330,7095,1190,40000,5000,1330,7095,1190,2090,77866,16410,0,5905,0,615,113,3999,8947,2946,0
90,20000,1,3,2,44,2,2,0,0,0,2,8583,8303,9651,10488,12314,11970,0,1651,1000,2000,0,1500,8303,8651,9488,12314,11970,1924,1204,2072,0,1218,0
91,200000,1,1,1,53,2,2,2,2,2,2,138180,140774,142460,144098,147124,149531,6300,5500,5500,5500,5000,5000,134474,136960,138598,142124,144531,398,391,386,347,340,1
92,280000,2,1,2,39,-1,-1,-1,0,0,-2,7524,0,3968,3868,0,0,0,3968,0,0,0,0,0,3968,3868,0,0,5274,10000,0,0,10000,0
93,100000,2,1,2,27,-2,-2,-2,-2,-2,-2,-2000,5555,0,0,0,0,7555,0,0,0,0,0,-2000,0,0,0,0,0,0,10000,10000,10000,0
94,160000,2,2,1,37,-1,-1,-1,-1,-1,-2,880,1602,840,840,0,0,1602,840,840,0,0,7736,0,0,0,0,0,9545,5243,0,0,10000,0
95,60000,2,2,2,23,0,0,0,0,0,0,45648,46850,47214,19595,19209,19323,1937,1301,682,690,816,835,44913,46532,18913,18393,18507,285,146,146,416,435,0
96,90000,1,2,2,35,0,0,0,0,0,0,83725,85996,87653,35565,30942,30835,3621,3597,1179,1112,1104,1143,82375,86474,34386,29838,29731,430,137,127,310,369,0
97,360000,1,1,1,43,-1,-1,-1,-1,-1,0,3967,8322,3394,6451,26370,9956,8339,3394,12902,27000,0,68978,-17,-9508,-6451,26370,9956,8556,15503,79552,0,26158,0
98,150000,1,1,2,27,0,0,0,0,0,0,86009,86108,89006,89775,87725,40788,4031,10006,3266,4040,1698,800,82077,85740,86509,86027,39090,1163,379,454,189,91,0
99,50000,2,3,1,22,0,0,0,0,0,0,18722,18160,16997,13150,8866,7899,1411,1194,379,281,321,197,16749,16618,12771,8545,7578,638,209,165,244,222,0
100,20000,1,2,1,38,0,0,0,0,0,-1,17973,19367,19559,18240,17928,150,1699,1460,626,1750,150,0,17668,18933,17614,17778,0,812,323,895,82,0,1
101,140000,1,1,2,32,-2,-2,-2,-2,-2,-2,672,10212,850,415,100,1430,10212,850,415,100,1430,0,0,435,0,-1330,0,12649,406,1176,34458,0,0
102,380000,2,1,2,30,-2,-2,-1,0,0,0,-81,-303,32475,32891,33564,34056,223,33178,1171,1197,1250,5000,-526,31304,31720,32314,32806,-4096049,-38647,369,380,1490,0
103,480000,1,1,1,63,0,0,0,2,2,0,422069,431342,479432,487066,471145,469961,16078,55693,17000,0,18000,24200,415264,462432,470066,453145,451961,1320,394,0,370,514,0
104,50000,2,3,2,22,0,0,0,0,0,0,44698,42254,38347,32496,23477,24094,1767,1362,1002,840,995,904,40487,37345,31494,22482,23099,305,237,219,306,385,1
105,60000,2,2,2,26,2,2,2,2,2,0,56685,55208,59175,60218,55447,55305,0,5000,2511,6,3000,3000,55208,56664,57707,52447,52305,882,455,1,498,541,0
106,70000,2,2,2,24,-1,-1,-2,-2,-2,-1,5580,0,0,0,0,26529,0,0,0,0,26529,2000,0,0,0,-26529,0,0,10000,10000,10000,10000,0
107,80000,2,2,1,36,-1,-1,-1,-1,-1,-1,6108,2861,3277,3319,1150,1150,2861,3279,3319,1150,1150,1035,0,-42,0,0,0,5368,11601,3509,3465,9000,0
108,350000,1,1,2,52,-1,-1,-1,-1,-1,-1,713,2272,722,867,1150,5263,2272,722,867,1150,5263,5011,0,-145,0,-4113,0,10126,3816,15928,60704,43574,0
109,130000,1,2,2,38,0,0,0,-1,-1,-1,171438,178382,39940,120483,44127,126568,10908,0,133657,4566,133841,4796,167474,-93717,-13174,-89714,-7273,0,7493,1143,11109,1087,0
110,360000,1,2,1,35,1,-2,-2,-2,-2,-2,-103,-103,-103,-103,-103,-103,0,0,0,0,0,0,-103,-103,-103,-103,-103,0,0,0,0,0,0
111,330000,2,1,1,31,0,0,2,0,0,0,105879,108431,105594,105896,106491,107289,9260,0,3593,4100,15794,0,99171,102001,102303,90697,91495,0,331,388,1491,0,0
112,50000,1,3,1,47,0,0,2,0,0,0,13244,14722,15181,15928,16671,17393,2000,1000,1000,1000,1000,1000,12722,14181,14928,15671,16393,755,679,659,628,600,0
113,280000,1,2,1,41,2,2,2,2,2,3,135673,138532,134813,144401,152174,149415,6500,0,14254,14850,0,5000,132032,120559,130147,152174,149415,0,1029,1102,0,329,0
114,100000,2,1,2,24,0,0,0,0,0,0,52128,52692,54477,56076,60100,59713,2000,2677,3076,5080,3000,2033,50692,51401,53000,57100,56713,514,584,933,535,338,0
115,50000,1,2,2,41,0,0,0,0,0,0,19015,19294,20259,20274,20311,19957,1340,1305,700,718,724,684,17954,19559,19574,19587,19233,686,363,354,357,337,0
116,30000,1,1,2,24,-1,2,0,0,3,2,18199,17618,18631,21319,20692,21201,0,1312,3000,0,1000,1000,17618,15631,18319,19692,20201,721,1703,0,469,483,1
117,240000,1,1,2,28,-1,-1,-1,-1,-1,-1,326,326,326,5676,476,326,326,326,5676,476,326,526,0,-5350,0,150,0,10000,174110,14601,574,11050,0
118,80000,1,2,2,26,2,0,0,0,0,0,14029,15493,16630,17055,17629,18186,2000,1700,1000,1000,1000,1000,13493,15630,16055,16629,17186,1212,645,601,586,567,1
119,400000,1,2,1,34,-1,-1,-1,-1,-1,-1,19660,9666,11867,7839,14837,7959,9677,11867,7839,14837,7959,5712,-11,4028,0,6878,0,6036,8110,12503,10153,3850,0
120,240000,2,2,2,38,0,0,0,0,-1,-1,50254,51445,53015,52479,1307,1203,2000,3000,3000,1307,1203,563,49445,50015,49479,104,0,597,583,247,229,4308,0
121,50000,1,3,2,37,2,2,2,3,2,2,46004,45976,48953,48851,49318,51143,1000,4035,1000,1400,2800,0,44976,47953,47851,46518,48343,877,218,286,573,0,1
122,450000,1,1,1,40,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,10000,10000,10000,10000,1
123,110000,2,1,1,48,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,10000,10000,10000,10000,0
124,310000,2,2,1,35,2,0,0,0,0,0,304991,311243,306314,258610,246491,198889,13019,11128,8407,8599,6833,5987,298224,297907,250203,239658,192056,365,270,281,264,243,1
125,20000,1,1,2,27,0,0,0,0,0,0,19115,18962,19298,19378,19717,15630,1404,1130,600,861,313,0,17558,18698,18778,19404,15317,591,316,446,162,0,0
126,20000,1,2,2,23,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,10000,10000,10000,10000,0
127,200000,1,3,2,52,0,0,0,0,0,0,110151,99530,98951,100914,103146,104993,3568,3585,3602,3848,3669,3784,95962,95349,97312,99477,101324,325,362,389,364,367,0
128,180000,1,1,1,36,0,0,0,0,0,0,163736,116422,99278,95766,97753,95927,4655,2690,2067,2142,2217,1000,111767,97211,93699,95536,93710,164,178,216,232,102,1
129,50000,1,2,1,51,0,0,0,0,0,0,3347,3899,4503,5347,6375,7077,1000,1066,1300,1500,1200,134,2899,3203,4047,5175,5877,3185,3334,3331,2244,210,1
130,60000,1,3,1,55,3,2,2,0,0,0,60521,61450,57244,28853,29510,26547,2504,7,1200,1200,1100,1500,58946,56044,27653,28410,25447,1,195,210,381,508,0
131,30000,2,1,2,23,1,-2,-2,-2,-1,-1,4000,5645,3508,-27,13744,5906,5645,3508,27,13771,5911,3024,0,3481,-54,7833,-5,8770,48,39256,-2189259,2200,0
132,240000,1,1,2,41,1,-1,-1,0,0,-1,95,2622,3301,3164,360,1737,2622,3301,0,360,1737,924,0,3301,3164,-1377,0,347474,0,1091,5490,25667,0
133,420000,1,2,1,34,0,0,0,0,0,0,253454,247743,229049,220951,210606,188108,9744,9553,7603,7830,7253,11326,237999,221446,213348,203353,180855,377,307,342,328,538,0
134,330000,1,3,1,46,0,0,0,0,0,0,227389,228719,229644,227587,227775,228203,8210,8095,8025,8175,8391,8200,220509,221619,219562,219384,219812,356,351,356,369,360,0
135,30000,2,2,2,22,0,0,0,0,0,0,28452,26145,26712,25350,17603,-780,2000,1400,0,500,0,1560,24145,26712,25350,17603,-780,492,0,187,0,886,0
136,240000,1,2,1,34,0,0,0,2,2,2,10674,12035,13681,13269,14158,13891,1500,1800,0,1000,0,327,10535,13681,13269,14158,13891,1686,0,731,0,231,0
137,150000,1,1,2,27,0,0,0,0,0,0,17444,19342,22000,24614,27200,30229,2500,3000,3000,3000,3500,5000,16842,19000,21614,23700,26729,1720,1551,1364,1422,1838,0
138,210000,2,2,1,33,0,0,0,0,0,0,7166,7997,8792,9189,4404,5708,1500,1500,1000,500,2000,546,6497,7792,8189,2404,3708,2093,1250,569,2177,1240,0
139,50000,2,3,1,51,-1,-1,-1,-1,-2,-2,752,300,5880,0,0,0,300,5880,0,0,0,0,0,5880,0,0,0,78191,0,0,10000,10000,1
140,50000,1,1,2,24,0,0,0,0,0,0,50801,50143,49586,19430,19375,18995,2360,1700,1000,900,870,2130,47783,48586,18430,18505,18125,335,199,182,448,1099,0
141,240000,1,1,2,47,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,10000,10000,10000,10000,1
142,180000,1,2,2,28,-1,-1,-1,-1,-1,-1,1832,0,832,332,416,416,0,416,332,500,3500,832,0,500,0,-3084,-3084,2271,10000,6010,105422,20000,0
143,50000,1,2,2,23,1,2,2,2,0,0,10131,10833,20583,19996,19879,18065,1000,10000,400,700,800,600,9833,20183,19596,19079,17265,9871,369,340,400,302,0
144,170000,1,2,2,29,-2,-2,-2,-2,-2,-2,12159,10000,10000,10000,9983,15846,10000,10000,10000,9983,15863,10000,0,0,0,-5880,-17,8224,10000,9983,15863,10017,0
145,20000,1,1,2,29,-1,-1,-1,-1,0,-1,1199,15586,344,2340,6702,339,15586,344,2340,4702,339,330,0,-1996,0,6363,0,2869,1501,136686,1449,492,0
146,50000,1,1,2,28,0,0,0,0,0,3,4999,5913,7315,9195,10624,10138,1000,1500,2000,1583,1100,0,4913,5315,7195,9524,9038,3001,3382,2164,1196,0,0
147,170000,2,2,2,27,0,0,0,0,0,0,19269,20313,20852,17560,17918,9100,1661,1200,351,358,182,0,18652,20501,17209,17736,8918,623,173,172,104,0,1
148,200000,1,1,2,34,1,2,0,0,0,0,197236,176192,93069,135668,132233,59875,8000,5000,55500,5000,5000,8500,168192,37569,80168,127233,54875,254,3150,537,369,643,0
149,80000,2,2,1,23,1,2,3,2,0,0,9168,10522,10205,9898,10123,12034,1650,0,0,379,2091,1,8872,10205,9898,8032,9943,0,0,371,2113,1,0
150,260000,2,1,1,60,1,-2,-1,-1,-1,-1,-1100,-1100,21400,0,969,869,0,22500,0,969,1000,0,-1100,21400,0,-31,-131,-204545,0,453,10000,0,0
151,140000,1,2,1,32,0,0,0,0,2,0,86627,78142,68336,64648,58319,55251,3455,3110,5000,0,2100,2602,74687,63336,59648,56219,53151,359,640,0,325,446,0
152,80000,1,1,2,25,0,0,0,0,0,0,42444,55744,43476,41087,41951,31826,30000,3000,6000,8000,2000,14000,25744,37476,35087,39951,29826,707,1076,1840,487,3337,0
153,350000,1,1,2,41,1,-1,-1,-1,-1,-2,208,2906,1000,630,0,0,2906,1000,630,0,0,0,0,370,0,0,0,48077,2168,0,0,10000,0
